Time	Sample	Type	chan	num	Aux
00:00.408	102	N	1	0	
00:01.352	338	N	1	0	
00:02.444	611	N	1	0	
00:03.448	862	N	1	0	
00:04.504	1126	N	1	0	
00:05.536	1384	N	1	0	
00:06.584	1646	N	1	0	
00:07.632	1908	N	1	0	
00:08.684	2171	N	1	0	
00:09.732	2433	N	1	0	
00:10.784	2696	N	1	0	
00:11.832	2958	N	1	0	
00:12.512	3128	N	1	0	
00:13.724	3431	N	1	0	
00:14.808	3702	N	1	0	
00:15.824	3956	N	1	0	
00:16.768	4192	N	1	0	
00:17.828	4457	N	1	0	
00:18.796	4699	N	1	0	
00:19.864	4966	N	1	0	
00:20.920	5230	N	1	0	
00:21.872	5468	N	1	0	
00:22.960	5740	N	1	0	
00:23.768	5942	N	1	0	
00:25.032	6258	N	1	0	
00:26.072	6518	N	1	0	
00:27.132	6783	N	1	0	
00:28.204	7051	N	1	0	
00:29.204	7301	N	1	0	
00:30.288	7572	N	1	0	
00:31.392	7848	N	1	0	
00:32.444	8111	N	1	0	
00:33.512	8378	N	1	0	
00:34.616	8654	N	1	0	
00:35.712	8928	N	1	0	
00:36.720	9180	N	1	0	
00:37.832	9458	N	1	0	
00:38.792	9698	N	1	0	
00:39.920	9980	N	1	0	
00:40.932	10233	N	1	0	
00:42.028	10507	N	1	0	
00:43.068	10767	N	1	0	
00:44.136	11034	N	1	0	
00:45.208	11302	N	1	0	
00:46.292	11573	N	1	0	
00:47.388	11847	N	1	0	
00:48.468	12117	N	1	0	
00:49.572	12393	N	1	0	
00:50.572	12643	N	1	0	
00:51.752	12938	N	1	0	
00:52.864	13216	N	1	0	
00:53.968	13492	N	1	0	
00:55.100	13775	N	1	0	
00:56.180	14045	N	1	0	
00:57.244	14311	N	1	0	
00:58.328	14582	N	1	0	
00:59.392	14848	N	1	0	
01:00.448	15112	N	1	0	
01:01.512	15378	N	1	0	
01:02.476	15619	N	1	0	
01:03.560	15890	N	1	0	
01:04.592	16148	N	1	0	
01:05.616	16404	N	1	0	
01:06.588	16647	N	1	0	
01:07.652	16913	N	1	0	
01:08.696	17174	N	1	0	
01:09.740	17435	N	1	0	
01:10.796	17699	N	1	0	
01:11.488	17872	N	1	0	
01:12.724	18181	N	1	0	
01:13.532	18383	N	1	0	
01:13.772	18443	|	1	0	
01:14.856	18714	N	1	0	
01:15.932	18983	N	1	0	
01:17.012	19253	N	1	0	
01:18.076	19519	N	1	0	
01:19.132	19783	N	1	0	
01:20.192	20048	N	1	0	
01:21.200	20300	N	1	0	
01:22.240	20560	N	1	0	
01:23.188	20797	N	1	0	
01:24.276	21069	N	1	0	
01:25.332	21333	N	1	0	
01:26.396	21599	N	1	0	
01:27.496	21874	N	1	0	
01:28.556	22139	N	1	0	
01:29.604	22401	N	1	0	
01:30.684	22671	N	1	0	
01:31.764	22941	N	1	0	
01:32.804	23201	N	1	0	
01:33.884	23471	N	1	0	
01:34.856	23714	N	1	0	
01:36.000	24000	N	1	0	
01:37.080	24270	N	1	0	
01:38.192	24548	N	1	0	
01:39.308	24827	N	1	0	
01:40.384	25096	N	1	0	
01:41.456	25364	N	1	0	
01:42.600	25650	N	1	0	
01:43.716	25929	N	1	0	
01:44.708	26177	N	1	0	
01:45.820	26455	N	1	0	
01:46.892	26723	N	1	0	
01:47.996	26999	N	1	0	
01:49.076	27269	N	1	0	
01:50.140	27535	N	1	0	
01:51.104	27776	N	1	0	
01:52.188	28047	N	1	0	
01:53.228	28307	N	1	0	
01:54.272	28568	N	1	0	
01:55.332	28833	N	1	0	
01:56.240	29060	N	1	0	
01:57.352	29338	N	1	0	
01:58.336	29584	N	1	0	
01:59.416	29854	N	1	0	
02:00.452	30113	N	1	0	
02:01.500	30375	N	1	0	
02:02.572	30643	N	1	0	
02:03.600	30900	N	1	0	
02:04.136	31034	N	1	0	
02:04.424	31106	|	1	0	
02:04.984	31246	|	1	0	
02:05.552	31388	|	1	0	
02:08.500	32125	N	1	0	
02:08.896	32224	N	1	0	
02:09.600	32400	N	1	0	
02:10.556	32639	N	1	0	
02:11.556	32889	N	1	0	
02:12.560	33140	N	1	0	
02:13.568	33392	N	1	0	
02:14.580	33645	N	1	0	
