Time	Sample	Type	chan	num	Aux
00:00.848	212	N	1	0	
00:01.624	406	N	1	0	
00:02.324	581	N	1	0	
00:03.220	805	N	1	0	
00:03.996	999	N	1	0	
00:04.776	1194	N	1	0	
00:05.456	1364	N	1	0	
00:06.344	1586	N	1	0	
00:07.132	1783	N	1	0	
00:07.836	1959	N	1	0	
00:08.760	2190	N	1	0	
00:09.212	2303	N	1	0	
00:10.208	2552	|	1	0	
00:11.756	2939	N	1	0	
00:12.088	3022	|	1	0	
00:16.344	4086	N	1	0	
00:17.136	4284	N	1	0	
00:17.900	4475	N	1	0	
00:18.660	4665	N	1	0	
00:19.432	4858	N	1	0	
00:20.204	5051	N	1	0	
00:20.976	5244	N	1	0	
00:21.748	5437	N	1	0	
00:22.580	5645	N	1	0	
00:23.492	5873	N	1	0	
00:24.200	6050	N	1	0	
00:25.208	6302	N	1	0	
00:26.072	6518	N	1	0	
00:26.920	6730	N	1	0	
00:27.760	6940	N	1	0	
00:28.604	7151	N	1	0	
00:29.436	7359	N	1	0	
00:30.276	7569	N	1	0	
00:30.688	7672	N	1	0	
00:31.664	7916	N	1	0	
00:32.496	8124	N	1	0	
00:33.304	8326	N	1	0	
00:34.116	8529	N	1	0	
00:34.792	8698	N	1	0	
00:35.720	8930	N	1	0	
00:36.500	9125	N	1	0	
00:37.280	9320	N	1	0	
00:38.028	9507	N	1	0	
00:38.444	9611	N	1	0	
00:39.332	9833	N	1	0	
00:40.060	10015	N	1	0	
00:40.816	10204	N	1	0	
00:41.572	10393	N	1	0	
00:42.344	10586	N	1	0	
00:43.140	10785	N	1	0	
00:43.944	10986	N	1	0	
00:44.764	11191	N	1	0	
00:45.596	11399	N	1	0	
00:46.436	11609	N	1	0	
00:47.196	11799	N	1	0	
00:48.064	12016	N	1	0	
00:48.880	12220	N	1	0	
00:49.680	12420	N	1	0	
00:50.464	12616	N	1	0	
00:51.240	12810	N	1	0	
00:52.016	13004	N	1	0	
00:52.600	13150	N	1	0	
00:53.524	13381	N	1	0	
00:54.296	13574	N	1	0	
00:55.076	13769	N	1	0	
00:55.856	13964	N	1	0	
00:56.488	14122	N	1	0	
00:57.388	14347	N	1	0	
00:58.152	14538	N	1	0	
00:58.920	14730	N	1	0	
00:59.580	14895	N	1	0	
01:00.440	15110	N	1	0	
01:01.200	15300	N	1	0	
01:01.960	15490	N	1	0	
01:02.376	15594	N	1	0	
01:03.276	15819	N	1	0	
01:04.048	16012	N	1	0	
01:04.728	16182	N	1	0	
01:05.628	16407	N	1	0	
01:06.400	16600	N	1	0	
01:07.172	16793	N	1	0	
01:07.952	16988	N	1	0	
01:08.716	17179	N	1	0	
01:09.484	17371	N	1	0	
01:10.244	17561	N	1	0	
01:11.012	17753	N	1	0	
01:11.756	17939	N	1	0	
01:12.500	18125	N	1	0	
01:13.228	18307	N	1	0	
01:13.876	18469	N	1	0	
01:14.296	18574	N	1	0	
01:15.188	18797	N	1	0	
01:15.920	18980	N	1	0	
01:16.632	19158	N	1	0	
01:17.340	19335	N	1	0	
01:17.996	19499	N	1	0	
01:18.756	19689	N	1	0	
01:19.484	19871	N	1	0	
01:20.104	20026	N	1	0	
01:21.200	20300	N	1	0	
01:21.836	20459	N	1	0	
01:22.936	20734	N	1	0	
01:23.760	20940	N	1	0	
01:24.572	21143	N	1	0	
01:25.404	21351	N	1	0	
01:26.244	21561	N	1	0	
01:26.852	21713	N	1	0	
01:27.864	21966	N	1	0	
01:28.648	22162	N	1	0	
01:29.440	22360	N	1	0	
01:29.884	22471	N	1	0	
01:30.816	22704	N	1	0	
01:31.604	22901	N	1	0	
01:32.248	23062	N	1	0	
01:32.636	23159	N	1	0	
01:33.568	23392	N	1	0	
01:34.328	23582	N	1	0	
01:35.052	23763	N	1	0	
01:35.776	23944	N	1	0	
01:36.488	24122	N	1	0	
01:37.212	24303	N	1	0	
01:37.912	24478	N	1	0	
01:38.612	24653	N	1	0	
01:39.312	24828	N	1	0	
01:40.012	25003	N	1	0	
01:40.712	25178	N	1	0	
01:41.428	25357	N	1	0	
01:42.168	25542	N	1	0	
01:42.596	25649	N	1	0	
01:43.544	25886	N	1	0	
01:44.296	26074	N	1	0	
01:44.944	26236	N	1	0	
01:45.880	26470	N	1	0	
01:46.660	26665	N	1	0	
01:47.396	26849	N	1	0	
01:48.232	27058	N	1	0	
01:49.004	27251	N	1	0	
01:49.680	27420	N	1	0	
01:50.528	27632	|	1	0	
01:51.276	27819	N	1	0	
01:52.004	28001	N	1	0	
01:52.716	28179	N	1	0	
01:53.424	28356	N	1	0	
01:54.124	28531	N	1	0	
01:54.820	28705	N	1	0	
01:55.424	28856	N	1	0	
01:56.220	29055	N	1	0	
01:56.924	29231	N	1	0	
01:57.540	29385	N	1	0	
01:58.324	29581	N	1	0	
01:59.032	29758	N	1	0	
01:59.732	29933	N	1	0	
02:00.424	30106	N	1	0	
02:01.132	30283	N	1	0	
02:01.840	30460	N	1	0	
02:02.552	30638	N	1	0	
02:03.240	30810	N	1	0	
02:03.824	30956	N	1	0	
02:04.628	31157	N	1	0	
02:05.312	31328	N	1	0	
02:05.948	31487	N	1	0	
02:06.664	31666	N	1	0	
02:07.340	31835	N	1	0	
02:07.952	31988	N	1	0	
02:08.688	32172	N	1	0	
02:09.364	32341	N	1	0	
02:10.044	32511	N	1	0	
02:10.728	32682	N	1	0	
02:11.144	32786	N	1	0	
02:12.016	33004	N	1	0	
02:12.708	33177	N	1	0	
02:13.384	33346	N	1	0	
02:14.076	33519	N	1	0	
02:14.772	33693	N	1	0	
02:15.464	33866	N	1	0	
02:16.164	34041	N	1	0	
02:16.872	34218	N	1	0	
02:17.468	34367	N	1	0	
02:18.276	34569	N	1	0	
02:18.984	34746	N	1	0	
02:19.584	34896	N	1	0	
02:20.396	35099	N	1	0	
02:21.108	35277	N	1	0	
02:21.756	35439	N	1	0	
02:22.500	35625	N	1	0	
02:23.196	35799	N	1	0	
02:23.876	35969	N	1	0	
02:24.564	36141	N	1	0	
02:25.248	36312	N	1	0	
02:25.936	36484	N	1	0	
02:26.628	36657	N	1	0	
02:27.320	36830	N	1	0	
02:27.932	36983	N	1	0	
02:28.696	37174	N	1	0	
02:29.376	37344	N	1	0	
02:30.060	37515	N	1	0	
02:30.736	37684	N	1	0	
02:31.408	37852	N	1	0	
02:32.072	38018	N	1	0	
02:32.736	38184	N	1	0	
02:33.408	38352	N	1	0	
02:34.068	38517	N	1	0	
02:34.724	38681	N	1	0	
02:35.376	38844	N	1	0	
02:36.020	39005	N	1	0	
02:36.664	39166	N	1	0	
02:37.300	39325	N	1	0	
02:37.936	39484	N	1	0	
02:38.576	39644	N	1	0	
02:39.208	39802	N	1	0	
02:39.848	39962	N	1	0	
02:40.484	40121	N	1	0	
02:41.136	40284	N	1	0	
02:41.788	40447	N	1	0	
02:42.460	40615	N	1	0	
02:43.128	40782	N	1	0	
02:43.712	40928	N	1	0	
02:44.484	41121	N	1	0	
02:45.172	41293	N	1	0	
02:45.864	41466	N	1	0	
02:46.556	41639	N	1	0	
02:47.252	41813	N	1	0	
02:47.948	41987	N	1	0	
02:48.640	42160	N	1	0	
02:49.316	42329	N	1	0	
02:49.988	42497	N	1	0	
02:50.660	42665	N	1	0	
02:51.328	42832	N	1	0	
02:51.928	42982	N	1	0	
02:52.660	43165	N	1	0	
02:53.336	43334	N	1	0	
02:54.004	43501	N	1	0	
02:54.672	43668	N	1	0	
02:55.348	43837	N	1	0	
02:56.020	44005	N	1	0	
02:56.688	44172	N	1	0	
02:57.364	44341	N	1	0	
02:58.016	44504	N	1	0	
02:58.676	44669	N	1	0	
02:59.316	44829	|	1	0	
02:59.984	44996	N	1	0	
03:00.636	45159	N	1	0	
03:01.292	45323	|	1	0	
03:01.952	45488	N	1	0	
03:02.612	45653	N	1	0	
03:03.276	45819	|	1	0	
03:03.932	45983	N	1	0	
03:04.600	46150	N	1	0	
03:05.260	46315	N	1	0	
03:05.920	46480	N	1	0	
03:06.584	46646	N	1	0	
03:07.236	46809	N	1	0	
03:07.904	46976	N	1	0	
03:08.296	47074	N	1	0	
03:09.132	47283	N	1	0	
03:09.800	47450	N	1	0	
03:10.456	47614	N	1	0	
03:11.104	47776	N	1	0	
03:11.756	47939	N	1	0	
03:12.408	48102	N	1	0	
03:13.060	48265	N	1	0	
03:13.708	48427	N	1	0	
03:14.364	48591	N	1	0	
03:15.020	48755	N	1	0	
03:15.676	48919	N	1	0	
03:16.328	49082	N	1	0	
03:16.976	49244	N	1	0	
03:17.620	49405	N	1	0	
03:18.184	49546	N	1	0	
03:18.896	49724	N	1	0	
03:19.540	49885	N	1	0	
03:20.180	50045	N	1	0	
03:20.828	50207	N	1	0	
03:21.488	50372	N	1	0	
03:22.140	50535	N	1	0	
03:22.804	50701	N	1	0	
03:23.472	50868	N	1	0	
03:24.136	51034	N	1	0	
03:24.792	51198	N	1	0	
03:25.456	51364	N	1	0	
03:26.068	51517	N	1	0	
03:26.792	51698	N	1	0	
03:27.452	51863	N	1	0	
03:28.068	52017	N	1	0	
03:28.780	52195	N	1	0	
03:29.440	52360	N	1	0	
03:30.104	52526	N	1	0	
03:30.772	52693	N	1	0	
03:31.428	52857	N	1	0	
03:32.088	53022	N	1	0	
03:32.744	53186	N	1	0	
03:33.396	53349	N	1	0	
03:34.040	53510	N	1	0	
03:34.704	53676	N	1	0	
03:35.352	53838	N	1	0	
03:36.000	54000	N	1	0	
03:36.660	54165	N	1	0	
03:37.316	54329	N	1	0	
03:37.976	54494	N	1	0	
03:38.636	54659	N	1	0	
03:39.296	54824	N	1	0	
03:39.968	54992	N	1	0	
03:40.628	55157	N	1	0	
03:41.288	55322	N	1	0	
03:41.944	55486	N	1	0	
03:42.544	55636	N	1	0	
03:43.248	55812	N	1	0	
03:43.900	55975	N	1	0	
03:44.544	56136	N	1	0	
03:45.192	56298	N	1	0	
03:45.844	56461	N	1	0	
03:46.484	56621	N	1	0	
03:47.132	56783	N	1	0	
03:47.704	56926	N	1	0	
03:48.432	57108	N	1	0	
03:49.084	57271	|	1	0	
03:49.736	57434	N	1	0	
03:50.392	57598	N	1	0	
03:51.044	57761	N	1	0	
03:51.280	57820	N	1	0	
03:51.700	57925	N	1	0	
03:52.352	58088	N	1	0	
03:52.996	58249	N	1	0	
03:53.512	58378	N	1	0	
03:54.292	58573	N	1	0	
03:54.924	58731	N	1	0	
03:55.560	58890	N	1	0	
03:56.056	59014	N	1	0	
03:56.820	59205	N	1	0	
03:57.444	59361	N	1	0	
03:58.072	59518	N	1	0	
03:58.704	59676	N	1	0	
03:59.332	59833	N	1	0	
03:59.968	59992	N	1	0	
04:00.608	60152	N	1	0	
04:01.244	60311	N	1	0	
04:01.892	60473	N	1	0	
04:02.544	60636	N	1	0	
04:03.216	60804	N	1	0	
04:03.884	60971	N	1	0	
04:04.568	61142	N	1	0	
04:05.272	61318	N	1	0	
04:05.976	61494	N	1	0	
04:06.688	61672	N	1	0	
04:07.400	61850	N	1	0	
04:08.104	62026	N	1	0	
04:08.792	62198	N	1	0	
04:09.484	62371	N	1	0	
04:10.144	62536	N	1	0	
04:10.852	62713	N	1	0	
04:11.528	62882	N	1	0	
04:12.112	63028	N	1	0	
04:12.868	63217	N	1	0	
04:13.524	63381	N	1	0	
04:14.104	63526	N	1	0	
04:14.816	63704	N	1	0	
04:15.464	63866	N	1	0	
04:16.056	64014	N	1	0	
04:16.740	64185	N	1	0	
04:17.388	64347	N	1	0	
04:17.948	64487	N	1	0	
04:18.692	64673	N	1	0	
04:19.344	64836	N	1	0	
04:20.000	65000	N	1	0	
